Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-1.0-192,resnet,SingleStream,3.307121,69.634,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-1.0-192/singlestream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,True,Latency (ms)
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-1.0-192,resnet,SingleStream,64.82489195685028,69.634,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-1.0-192/singlestream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,True,millijoules
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-1.0-192,resnet,MultiStream,27.698888,69.634,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-1.0-192/multistream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,Latency (ms)
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-1.0-192,resnet,MultiStream,518.5991356548022,69.634,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-1.0-192/multistream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,millijoules
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-1.0-192,resnet,Offline,350.098,69.634,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-1.0-192/offline,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,Samples/s
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-1.0-192,resnet,Offline,22.664900000000014,69.634,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-1.0-192/offline,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,Watts
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-0.75-128,resnet,SingleStream,2.193619,62.056,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-0.75-128/singlestream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,True,Latency (ms)
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-0.75-128,resnet,SingleStream,43.107983325798216,62.056,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-0.75-128/singlestream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,True,millijoules
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-0.75-128,resnet,MultiStream,18.853568,62.056,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-0.75-128/multistream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,Latency (ms)
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-0.75-128,resnet,MultiStream,344.8638666063857,62.056,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-0.75-128/multistream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,millijoules
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-0.75-128,resnet,Offline,494.776,62.056,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-0.75-128/offline,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,Samples/s
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-0.75-128,resnet,Offline,21.294483333333332,62.056,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-0.75-128/offline,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,Watts
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-1.0-128,resnet,SingleStream,2.371671,63.426,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-1.0-128/singlestream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,True,Latency (ms)
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-1.0-128,resnet,SingleStream,47.462439619705584,63.426,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-1.0-128/singlestream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,True,millijoules
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-1.0-128,resnet,MultiStream,20.39444,63.426,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-1.0-128/multistream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,Latency (ms)
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-1.0-128,resnet,MultiStream,379.6995169576447,63.426,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-1.0-128/multistream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,millijoules
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-1.0-128,resnet,Offline,453.815,63.426,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-1.0-128/offline,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,Samples/s
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v2-precision_uint8-1.0-128,resnet,Offline,21.50370000000001,63.426,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v2-precision_uint8-1.0-128/offline,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,Watts
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v3-precision_uint8-small-224,resnet,SingleStream,3.268682,63.986,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v3-precision_uint8-small-224/singlestream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,True,Latency (ms)
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v3-precision_uint8-small-224,resnet,SingleStream,63.53588312699205,63.986,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v3-precision_uint8-small-224/singlestream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,True,millijoules
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v3-precision_uint8-small-224,resnet,MultiStream,28.468824,63.986,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v3-precision_uint8-small-224/multistream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,Latency (ms)
CTuning,available,open,"edge","nvidia_orin_64k",nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon,mobilenet-v3-precision_uint8-small-224,resnet,MultiStream,508.2870650159364,63.986,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",open/CTuning/results/nvidia_orin_64k-tflite_armnn_cpp-cpu-armnn_tflite-v23.05-using_neon/mobilenet-v3-precision_uint8-small-224/multistream,"armnn_tflite v23.05","Ubuntu 20.04 (linux-5.10.104-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,True,millijoules
